idx,v0_x,v0_y,v1_x,v1_y,order
0,-22.64290640205615,28.156973589114763,-24.259357670506674,28.056860507363318,
0,-22.64290640205615,28.156973589114763,-21.22281407655496,26.76970717242655,
0,-22.64290640205615,28.156973589114763,-20.999582114656768,26.628893457999183,
0,-22.64290640205615,28.156973589114763,-20.528589050766577,26.781313210404832,
0,-22.64290640205615,28.156973589114763,-21.755477592365988,25.2214260376685,
0,-22.64290640205615,28.156973589114763,-25.790489443966713,28.186554755927254,
0,-22.64290640205615,28.156973589114763,-26.11223750498161,25.666184843190734,
1,11.596430495940993,-16.348581663020834,12.579255300378883,-16.935809508376316,
1,11.596430495940993,-16.348581663020834,12.336091698516327,-14.465098206304353,
1,11.596430495940993,-16.348581663020834,9.644438065184872,-14.253720004439987,
1,11.596430495940993,-16.348581663020834,13.249034753775327,-13.839288352825635,
1,11.596430495940993,-16.348581663020834,11.628539991424262,-13.074137234661062,
1,11.596430495940993,-16.348581663020834,9.642490666221946,-19.10188039853918,
1,11.596430495940993,-16.348581663020834,10.181666173644956,-12.677699725459338,
2,-27.157942753335707,24.463908749903602,-28.111059923461262,24.66693118674553,
2,-27.157942753335707,24.463908749903602,-27.50044132816417,25.764667451257445,
2,-27.157942753335707,24.463908749903602,-26.11223750498161,25.666184843190734,
2,-27.157942753335707,24.463908749903602,-26.63549418165593,22.780474328384003,
2,-27.157942753335707,24.463908749903602,-25.790489443966713,28.186554755927254,
2,-27.157942753335707,24.463908749903602,-24.259357670506674,28.056860507363318,
2,-27.157942753335707,24.463908749903602,-22.64290640205615,28.156973589114763,
3,13.249034753775327,-13.839288352825635,12.336091698516327,-14.465098206304353,
3,13.249034753775327,-13.839288352825635,14.916459791187023,-14.220031791226653,
3,13.249034753775327,-13.839288352825635,11.628539991424262,-13.074137234661062,
3,13.249034753775327,-13.839288352825635,15.062419744774111,-13.148277237448749,
3,13.249034753775327,-13.839288352825635,11.725768398565684,-12.35949902021446,
3,13.249034753775327,-13.839288352825635,11.596430495940993,-16.348581663020834,
3,13.249034753775327,-13.839288352825635,12.579255300378883,-16.935809508376316,
4,-11.024300702310885,-9.882926062283843,-10.808148440011436,-11.065849531474637,
4,-11.024300702310885,-9.882926062283843,-11.819971333490841,-11.703738168290329,
4,-11.024300702310885,-9.882926062283843,-10.693004664127095,-12.073025159482917,
4,-11.024300702310885,-9.882926062283843,-12.808952463449593,-12.790808219025205,
4,-11.024300702310885,-9.882926062283843,-8.909316977546776,-13.025181747454187,
4,-11.024300702310885,-9.882926062283843,-11.288293459554897,-13.718659858851852,
4,-11.024300702310885,-9.882926062283843,-8.428159517424493,-12.993613450287821,
5,-13.202606307904937,9.66568715176436,-14.485551727112572,9.213914649257767,
5,-13.202606307904937,9.66568715176436,-14.091625542430094,6.409083400294513,
5,-13.202606307904937,9.66568715176436,-15.168020459599344,12.487138532889126,
5,-13.202606307904937,9.66568715176436,-15.449121937237887,12.781035445043798,
5,-13.202606307904937,9.66568715176436,-16.511124670443646,16.0097105429751,
5,-13.202606307904937,9.66568715176436,-10.3957005059561,16.727675181213257,
5,-13.202606307904937,9.66568715176436,-14.266797526800534,17.484783569026433,
6,24.466238759972136,6.074481001926706,25.17730785218106,5.108069543276912,
6,24.466238759972136,6.074481001926706,24.157359213009933,7.282282863651922,
6,24.466238759972136,6.074481001926706,24.30828785834285,8.547564373752394,
6,24.466238759972136,6.074481001926706,26.26796418038304,8.043929723989926,
6,24.466238759972136,6.074481001926706,26.002189884082433,9.003084286017419,
6,24.466238759972136,6.074481001926706,24.00417146929687,2.2594663653572162,
6,24.466238759972136,6.074481001926706,26.29860625971005,11.263878696811084,
7,-8.428159517424493,-12.993613450287821,-8.909316977546776,-13.025181747454187,18
