time,x,y,theta,Vx,Vy,Vlin,Vang,grad_atr_pot_x,grad_atr_pot_y,targ_cell_row,targ_cell_col
114200000000,23.345200278497764,16.999311345760486,0.002040911994576788,4.136999303755591,0.0017216355987859089,4.136994201496256,-0.013443227251822492,-8.273998607511182,-0.0034432711975718178,11,32
114200000000,23.345200278497764,16.999311345760486,0.002040911994576788,4.136999303755591,0.0017216355987859089,4.136994201496256,-0.013443227251822492,-8.273998607511182,-0.0034432711975718178,11,32
114300000000,23.445193138763123,17.00131858474877,0.005647236454971546,3.8870171530921915,-0.00329646187192445,3.8869365564808267,-0.05049439520471463,-7.774034306184383,0.0065929237438489,11,32
114300000000,23.445193138763123,17.00131858474877,0.005647236454971546,3.8870171530921915,-0.00329646187192445,3.8869365564808267,-0.05049439520471463,-7.774034306184383,0.0065929237438489,11,32
114400000000,23.54519488824259,17.001211152399108,0.004302913729789296,3.6370127793935225,-0.0030278809977701826,3.636966081008103,-0.037355113796639694,-7.274025558787045,0.006055761995540365,11,32
114400000000,23.54519488824259,17.001211152399108,0.004302913729789296,3.6370127793935225,-0.0030278809977701826,3.636966081008103,-0.037355113796639694,-7.274025558787045,0.006055761995540365,11,32
114500000000,23.645198451925005,16.999116729357766,-0.0007465257906821688,3.3870038701874883,0.0022081766055848107,3.38700127793699,0.009473322995312755,-6.7740077403749765,-0.004416353211169621,11,32
114500000000,23.645198451925005,16.999116729357766,-0.0007465257906821688,3.3870038701874883,0.0022081766055848107,3.38700127793699,0.009473322995312755,-6.7740077403749765,-0.004416353211169621,11,32
114600000000,23.74519354122926,16.997174328564295,-0.004482037170346138,3.137016146926852,0.007064178589262227,3.1369529759535952,0.042248567067665735,-6.274032293853704,-0.014128357178524453,11,32
114600000000,23.74519354122926,16.997174328564295,-0.004482037170346138,3.137016146926852,0.007064178589262227,3.1369529759535952,0.042248567067665735,-6.274032293853704,-0.014128357178524453,11,32
114700000000,23.845194435422595,16.99719978867475,-0.003534704870814862,2.8870139114435123,0.007000528313128029,2.886971131336426,0.03441041093076188,-5.7740278228870245,-0.014001056626256059,11,32
114700000000,23.845194435422595,16.99719978867475,-0.003534704870814862,2.8870139114435123,0.007000528313128029,2.886971131336426,0.03441041093076188,-5.7740278228870245,-0.014001056626256059,11,32
114800000000,23.945196815170313,16.998958743569453,0.000690151835951712,2.637007962074218,0.002603141076367166,2.6370091306206467,0.0015664094288947448,-5.274015924148436,-0.005206282152734332,11,32
114800000000,23.945196815170313,16.998958743569453,0.000690151835951712,2.637007962074218,0.002603141076367166,2.6370091306206467,0.0015664094288947448,-5.274015924148436,-0.005206282152734332,11,32
114900000000,24.045192643749534,17.000748273446003,0.004131192929027901,2.3870183906261655,-0.0018706836150084172,2.3869902931931484,-0.023463746197487808,-4.774036781252331,0.0037413672300168344,11,32
114900000000,24.045192643749534,17.000748273446003,0.004131192929027901,2.3870183906261655,-0.0018706836150084172,2.3869902931931484,-0.023463746197487808,-4.774036781252331,0.0037413672300168344,11,32
115000000000,24.1451914607229,17.00123971134125,0.0042878338719173755,2.1370213481927536,-0.0030992783531225143,2.136988413949238,-0.024524828611440425,-4.274042696385507,0.006198556706245029,11,32
115000000000,24.1451914607229,17.00123971134125,0.0042878338719173755,2.1370213481927536,-0.0030992783531225143,2.136988413949238,-0.024524828611440425,-4.274042696385507,0.006198556706245029,11,32
115100000000,24.245194195505416,17.000495312064345,0.0019414592521685937,1.88701451123646,-0.0012382801608623595,1.8870085508406538,-0.009803674614977817,-3.77402902247292,0.002476560321724719,11,32
115100000000,24.245194195505416,17.000495312064345,0.0019414592521685937,1.88701451123646,-0.0012382801608623595,1.8870085508406538,-0.009803674614977817,-3.77402902247292,0.002476560321724719,11,32
115200000000,24.345194884071706,16.99946321705797,-0.0005110236089754489,1.6370127898207354,0.0013419573550788044,1.6370118902999211,0.0043570186544778025,-3.274025579641471,-0.002683914710157609,11,32
115200000000,24.345194884071706,16.99946321705797,-0.0005110236089754489,1.6370127898207354,0.0013419573550788044,1.6370118902999211,0.0043570186544778025,-3.274025579641471,-0.002683914710157609,11,32
115300000000,24.445194380239002,16.998921931233863,-0.001491391070473231,1.3870140494024952,0.0026951719153434084,1.3870084873177986,0.009527497038080656,-2.7740280988049903,-0.005390343830686817,11,32
115300000000,24.445194380239002,16.998921931233863,-0.001491391070473231,1.3870140494024952,0.0026951719153434084,1.3870084873177986,0.009527497038080656,-2.7740280988049903,-0.005390343830686817,11,32
115400000000,24.545194546468487,16.998990642936434,-0.0010556892050254507,1.1370136338287828,0.0025233926589152134,1.137010336321641,0.007447448098044845,-2.2740272676575657,-0.005046785317830427,11,32
115400000000,24.545194546468487,16.998990642936434,-0.0010556892050254507,1.1370136338287828,0.0025233926589152134,1.137010336321641,0.007447448098044845,-2.2740272676575657,-0.005046785317830427,11,32
115500000000,24.64519476671527,16.999361448789493,-0.00010293950121738481,0.8870130832118228,0.001596378026267331,0.8870129141818301,0.0033753734040142974,-1.7740261664236456,-0.003192756052534662,11,32
115500000000,24.64519476671527,16.999361448789493,-0.00010293950121738481,0.8870130832118228,0.001596378026267331,0.8870129141818301,0.0033753734040142974,-1.7740261664236456,-0.003192756052534662,11,32
115600000000,24.74519466585607,16.99972352722217,0.0006418053085871,0.6370133353598284,0.0006911819445765133,0.6370136477666709,0.0005646865800315002,-1.2740266707196568,-0.0013823638891530265,11,32
