time,x,y,theta,Vx,Vy,Vlin,Vang,cur_cell,is_go_to_base,is_tangent_movement,is_vertical_movement,is_up,is_down,is_go_to_next_cell
32000000000,-20.6,-24.96,0.0,-1.1699999999999982,-3.7999999999999936,-1.1699999999999982,0.0,3,True,False,False,False,False,False
32000000000,-20.6,-24.96,0.0,-1.1699999999999982,-3.7999999999999936,-1.1699999999999982,0.0,3,True,False,False,False,False,False
32100000000,-20.6,-24.96,0.0,-1.1699999999999982,-3.7999999999999936,-1.1699999999999982,0.0,3,True,False,False,False,False,False
32100000000,-20.6,-24.96,0.0,-1.1699999999999982,-3.7999999999999936,-1.1699999999999982,0.0,3,True,False,False,False,False,False
32200000000,-20.700000000000003,-25.060000000000002,0.0,-1.0699999999999967,-3.699999999999992,-1.0699999999999967,0.0,3,True,False,False,False,False,False
32200000000,-20.700000000000003,-25.060000000000002,0.0,-1.0699999999999967,-3.699999999999992,-1.0699999999999967,0.0,3,True,False,False,False,False,False
32300000000,-20.800000000000004,-25.160000000000004,0.0,-0.9699999999999953,-3.5999999999999908,-0.9699999999999953,0.0,3,True,False,False,False,False,False
32300000000,-20.800000000000004,-25.160000000000004,0.0,-0.9699999999999953,-3.5999999999999908,-0.9699999999999953,0.0,3,True,False,False,False,False,False
32400000000,-20.900000000000006,-25.260000000000005,0.0,-0.8699999999999939,-3.4999999999999893,-0.8699999999999939,0.0,3,True,False,False,False,False,False
32400000000,-20.900000000000006,-25.260000000000005,0.0,-0.8699999999999939,-3.4999999999999893,-0.8699999999999939,0.0,3,True,False,False,False,False,False
32500000000,-20.997000000000007,-25.360000000000007,0.0,-0.7729999999999926,-3.399999999999988,-0.7729999999999926,0.0,3,True,False,False,False,False,False
32500000000,-20.997000000000007,-25.360000000000007,0.0,-0.7729999999999926,-3.399999999999988,-0.7729999999999926,0.0,3,True,False,False,False,False,False
32600000000,-21.084000000000007,-25.460000000000008,0.0,-0.6859999999999928,-3.2999999999999865,-0.6859999999999928,0.0,3,True,False,False,False,False,False
32600000000,-21.084000000000007,-25.460000000000008,0.0,-0.6859999999999928,-3.2999999999999865,-0.6859999999999928,0.0,3,True,False,False,False,False,False
32700000000,-21.161300000000004,-25.56000000000001,0.0,-0.6086999999999954,-3.199999999999985,-0.6086999999999954,0.0,3,True,False,False,False,False,False
32700000000,-21.161300000000004,-25.56000000000001,0.0,-0.6086999999999954,-3.199999999999985,-0.6086999999999954,0.0,3,True,False,False,False,False,False
32800000000,-21.229900000000004,-25.66000000000001,0.0,-0.5400999999999954,-3.0999999999999837,-0.5400999999999954,0.0,3,True,False,False,False,False,False
32800000000,-21.229900000000004,-25.66000000000001,0.0,-0.5400999999999954,-3.0999999999999837,-0.5400999999999954,0.0,3,True,False,False,False,False,False
32900000000,-21.290770000000002,-25.760000000000012,0.0,-0.4792299999999976,-2.9999999999999822,-0.4792299999999976,0.0,3,True,False,False,False,False,False
32900000000,-21.290770000000002,-25.760000000000012,0.0,-0.4792299999999976,-2.9999999999999822,-0.4792299999999976,0.0,3,True,False,False,False,False,False
