time,x,y,theta,Vx,Vy,Vlin,Vang,targ_x,targ_y
64000000000,-27.202,-18.61,0.0,0.27689387473977334,-0.46144515433968536,0.27689387473977334,0.0,-26.648212250520455,-19.53289030867937
64000000000,-27.202,-18.61,0.0,0.27689387473977334,-0.46144515433968536,0.27689387473977334,0.0,-26.648212250520455,-19.53289030867937
64100000000,-27.202,-18.61,0.0,0.27689387473977334,-0.46144515433968536,0.27689387473977334,0.0,-26.648212250520455,-19.53289030867937
64100000000,-27.202,-18.61,0.0,0.27689387473977334,-0.46144515433968536,0.27689387473977334,0.0,-26.648212250520455,-19.53289030867937
64200000000,-27.174310612526025,-18.65614451543397,0.0,0.26304918100278485,-0.43837289662270074,0.26304918100278485,0.0,-26.648212250520455,-19.53289030867937
64200000000,-27.174310612526025,-18.65614451543397,0.0,0.26304918100278485,-0.43837289662270074,0.26304918100278485,0.0,-26.648212250520455,-19.53289030867937
64300000000,-27.146621225052048,-18.702289030867938,0.0,0.24920448726579636,-0.4153006389057161,0.24920448726579636,0.0,-26.648212250520455,-19.53289030867937
64300000000,-27.146621225052048,-18.702289030867938,0.0,0.24920448726579636,-0.4153006389057161,0.24920448726579636,0.0,-26.648212250520455,-19.53289030867937
64400000000,-27.120316306951768,-18.74612632053021,0.0,0.2360520282156564,-0.39338199407458063,0.2360520282156564,0.0,-26.648212250520455,-19.53289030867937
64400000000,-27.120316306951768,-18.74612632053021,0.0,0.2360520282156564,-0.39338199407458063,0.2360520282156564,0.0,-26.648212250520455,-19.53289030867937
64500000000,-27.09539585822519,-18.78765638442078,0.0,0.22359180385236677,-0.3726169621292943,0.22359180385236677,0.0,-26.648212250520455,-19.53289030867937
64500000000,-27.09539585822519,-18.78765638442078,0.0,0.22359180385236677,-0.3726169621292943,0.22359180385236677,0.0,-26.648212250520455,-19.53289030867937
64600000000,-27.09539585822519,-18.78765638442078,0.0,0.22359180385236677,-0.3726169621292943,0.22359180385236677,0.0,-26.648212250520455,-19.53289030867937
64600000000,-27.071790655403625,-18.826994583828238,0.0,0.21178920244158483,-0.352947862425566,0.21178920244158483,0.0,-26.648212250520455,-19.53289030867937
64700000000,-27.049431475018388,-18.864256280041168,0.0,0.20060961224896623,-0.334317014319101,0.20060961224896623,0.0,-26.648212250520455,-19.53289030867937
64700000000,-27.049431475018388,-18.864256280041168,0.0,0.20060961224896623,-0.334317014319101,0.20060961224896623,0.0,-26.648212250520455,-19.53289030867937
64800000000,-27.02707229463315,-18.901517976254098,0.0,0.18943002205634762,-0.315686166212636,0.18943002205634762,0.0,-26.648212250520455,-19.53289030867937
64800000000,-27.02707229463315,-18.901517976254098,0.0,0.18943002205634762,-0.315686166212636,0.18943002205634762,0.0,-26.648212250520455,-19.53289030867937
64900000000,-27.007011333408254,-18.934949677686006,0.0,0.17939954144389958,-0.29897031549668185,0.17939954144389958,0.0,-26.648212250520455,-19.53289030867937
64900000000,-27.007011333408254,-18.934949677686006,0.0,0.17939954144389958,-0.29897031549668185,0.17939954144389958,0.0,-26.648212250520455,-19.53289030867937
65000000000,-26.98806833120262,-18.96651829430727,0.0,0.1699280403410821,-0.2831860071860497,0.1699280403410821,0.0,-26.648212250520455,-19.53289030867937
65000000000,-26.98806833120262,-18.96651829430727,0.0,0.1699280403410821,-0.2831860071860497,0.1699280403410821,0.0,-26.648212250520455,-19.53289030867937
65100000000,-26.97012837705823,-18.99641532585694,0.0,0.16095806326888784,-0.2682374914112149,0.16095806326888784,0.0,-26.648212250520455,-19.53289030867937
65100000000,-26.97012837705823,-18.99641532585694,0.0,0.16095806326888784,-0.2682374914112149,0.16095806326888784,0.0,-26.648212250520455,-19.53289030867937
65200000000,-26.953135573024124,-19.024733926575546,0.0,0.15246166125183436,-0.2540781910519119,0.15246166125183436,0.0,-26.648212250520455,-19.53289030867937
65200000000,-26.953135573024124,-19.024733926575546,0.0,0.15246166125183436,-0.2540781910519119,0.15246166125183436,0.0,-26.648212250520455,-19.53289030867937
65300000000,-26.937039766697236,-19.05155767571667,0.0,0.1444137580883904,-0.2406663164813505,0.1444137580883904,0.0,-26.648212250520455,-19.53289030867937
65300000000,-26.937039766697236,-19.05155767571667,0.0,0.1444137580883904,-0.2406663164813505,0.1444137580883904,0.0,-26.648212250520455,-19.53289030867937
65400000000,-26.92179360057205,-19.07696549482186,0.0,0.13679067502579834,-0.22796240692875536,0.13679067502579834,0.0,-26.648212250520455,-19.53289030867937
65400000000,-26.92179360057205,-19.07696549482186,0.0,0.13679067502579834,-0.22796240692875536,0.13679067502579834,0.0,-26.648212250520455,-19.53289030867937
65500000000,-26.907352224763212,-19.101032126469995,0.0,0.12956998712137846,-0.2159290911046874,0.12956998712137846,0.0,-26.648212250520455,-19.53289030867937
65500000000,-26.907352224763212,-19.101032126469995,0.0,0.12956998712137846,-0.2159290911046874,0.12956998712137846,0.0,-26.648212250520455,-19.53289030867937
65600000000,-26.907352224763212,-19.101032126469995,0.0,0.12956998712137846,-0.2159290911046874,0.12956998712137846,0.0,-26.648212250520455,-19.53289030867937
65600000000,-26.907352224763212,-19.101032126469995,0.0,0.12956998712137846,-0.2159290911046874,0.12956998712137846,0.0,-26.648212250520455,-19.53289030867937
65700000000,-26.880716158548495,-19.14542127627334,0.0,-0.3161964451173933,1.8621965798901252,-0.3161964451173933,0.0,-27.51310904878328,-15.421028116493089
65700000000,-26.880716158548495,-19.14542127627334,0.0,-0.3161964451173933,1.8621965798901252,-0.3161964451173933,0.0,-27.51310904878328,-15.421028116493089
